"Optional field. It is automatically filled, using your store address. So do not change his default value unless it is strictly necessary","Optional field. It is automatically filled, using your store address. So do not change his default value unless it is strictly necessary"
"Optional field","Optional field"
"Enable Log","Enable Log"
"Sort order of this payment method in the checkout page (relative to others payments)","Sort order of this payment method in the checkout page (relative to others payments)"
"Create log file?","Create log file?"
"Log File Path","Log File Path"
"Return URL","Return URL"
"Edited Return URL","Edited Return URL"
"Edited value for return url, used to redirect end users in successful transactions.","Edited value for return url, used to redirect end users in successful transactions."
"Use default value (","Use default value ("
"Edit return url","Edit return url"
"Notify URL","Notify URL"
"Edit notify url","Edit notify url"
"Edited Notify URL","Edited Notify URL"
"Edited value for notify url, used to notify the Virtual Store. This URL must bind ports 80 or 443.","Edited value for notify url, used to notify the Virtual Store. This URL must bind ports 80 or 443."
"Boa Compra updated order status to Boa Compra Pending","Boa Compra updated order status to Boa Compra Pending"
"Boa Compra - Settings","Boa Compra - Settings"
"Checkout Settings","Checkout Settings"
"Boa Compra Cancelled","Boa Compra Cancelled"
"Boa Compra Complete","Boa Compra Complete"
"Boa Compra Chargeback","Boa Compra Chargeback"
"Boa Compra Expired","Boa Compra Expired"
"Boa Compra Not Paid","Boa Compra Not Paid"
"Boa Compra Pending","Boa Compra Pending"
"Boa Compra Refunded","Boa Compra Refunded"
"Boa Compra Under Review","Boa Compra Under Review"
"Completing your checkout with Boa Compra","Completing your checkout with Boa Compra"
"You should be redirected to Boa Compra checkout page to finish the payment of your order","You should be redirected to Boa Compra checkout page to finish the payment of your order"
"If you are not redirected, ","If you are not redirected, "
"click here","click here"
"Something went wrong","Something went wrong"
"There was an error completing your order","There was an error completing your order"
"with Boa Compra.","with Boa Compra."
"Please try again and if error persists contact us.","Please try again and if error persists contact us."
"Completed your checkout with Boa Compra","Completed your checkout with Boa Compra"
"Click here to see more information of your order #","Click here to see more information of your order #"
"Check the the e-mail registered in the checkout to follow your order.","Check the the e-mail registered in the checkout to follow your order."
